# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

1000, 47.0, 47.0, 6.0, 0.0
2000, 43.0, 55.0, 2.0, 0.0
3000, 55.0, 45.0, 0.0, 0.0
4000, 52.0, 45.0, 3.0, 0.0
5000, 49.0, 48.0, 3.0, 0.0
6000, 54.0, 46.0, 0.0, 0.0
7000, 53.0, 45.0, 2.0, 0.0
8000, 47.0, 51.0, 2.0, 0.0
9000, 48.0, 51.0, 1.0, 0.0
10000, 59.0, 36.0, 5.0, 0.0
11000, 54.0, 44.0, 2.0, 0.0
12000, 43.0, 54.0, 3.0, 0.0
13000, 53.0, 43.0, 4.0, 0.0
14000, 47.0, 49.0, 4.0, 0.0
15000, 52.0, 45.0, 3.0, 0.0
16000, 41.0, 56.0, 3.0, 0.0
17000, 47.0, 49.0, 4.0, 0.0
18000, 50.0, 49.0, 1.0, 0.0
19000, 47.0, 51.0, 2.0, 0.0
20000, 46.0, 53.0, 1.0, 0.0
21000, 60.0, 39.0, 1.0, 0.0
22000, 49.0, 50.0, 1.0, 0.0
23000, 50.0, 48.0, 2.0, 0.0
24000, 55.0, 44.0, 1.0, 0.0
25000, 53.0, 45.0, 2.0, 0.0
26000, 50.0, 49.0, 1.0, 0.0
27000, 53.0, 46.0, 1.0, 0.0
28000, 52.0, 46.0, 2.0, 0.0
29000, 53.0, 45.0, 2.0, 0.0
30000, 53.0, 44.0, 3.0, 0.0
31000, 50.0, 47.0, 3.0, 0.0
32000, 50.0, 48.0, 2.0, 0.0
33000, 54.0, 44.0, 2.0, 0.0
34000, 66.0, 32.0, 2.0, 0.0
35000, 50.0, 48.0, 2.0, 0.0
36000, 50.0, 46.0, 4.0, 0.0
37000, 54.0, 43.0, 3.0, 0.0
38000, 51.0, 47.0, 2.0, 0.0
39000, 56.0, 42.0, 2.0, 0.0
40000, 47.0, 52.0, 1.0, 0.0
41000, 59.0, 41.0, 0.0, 0.0
42000, 57.0, 41.0, 2.0, 0.0
43000, 59.0, 38.0, 3.0, 0.0
44000, 52.0, 45.0, 3.0, 0.0
45000, 49.0, 49.0, 2.0, 0.0
46000, 56.0, 42.0, 2.0, 0.0
47000, 51.0, 48.0, 1.0, 0.0
48000, 48.0, 50.0, 2.0, 0.0
49000, 51.0, 46.0, 3.0, 0.0
50000, 50.0, 46.0, 4.0, 0.0
51000, 53.0, 43.0, 4.0, 0.0
52000, 59.0, 36.0, 5.0, 0.0
53000, 44.0, 52.0, 4.0, 0.0
54000, 62.0, 36.0, 2.0, 0.0
55000, 45.0, 50.0, 5.0, 0.0
56000, 52.0, 46.0, 2.0, 0.0
57000, 57.0, 42.0, 1.0, 0.0
58000, 55.0, 45.0, 0.0, 0.0
59000, 57.0, 42.0, 1.0, 0.0
60000, 51.0, 47.0, 2.0, 0.0
61000, 44.0, 54.0, 2.0, 0.0
62000, 47.0, 48.0, 5.0, 0.0
63000, 61.0, 38.0, 1.0, 0.0
64000, 59.0, 39.0, 2.0, 0.0
65000, 50.0, 46.0, 4.0, 0.0
66000, 61.0, 38.0, 1.0, 0.0
67000, 54.0, 46.0, 0.0, 0.0
68000, 50.0, 46.0, 4.0, 0.0
69000, 55.0, 41.0, 4.0, 0.0
70000, 54.0, 46.0, 0.0, 0.0
71000, 50.0, 50.0, 0.0, 0.0
72000, 52.0, 48.0, 0.0, 0.0
73000, 48.0, 49.0, 3.0, 0.0
